Aeroporto,Nome Commerciale,Eponimi,ICAO,IATA,Gestore,Indirizzo,Comune,Provincia,Regione,Paese,ISO Paese,Latitudine,Longitudine
Albenga,"Aeroporto Internazionale di Villanova d'Albenga ""Clemente Panero""",Clemente Panero,LIMG,ALL,A.V.A.,"Viale Generale Disegna, 17038 Villanova d'Albenga (SV)",Villanova d'Albenga,Savona,Liguria,Italia,IT,44.045833,8.125556
Alghero Fertilia,"Aeroporto Internazionale ""Riviera del Corallo""",,LIEA,AHO,SO.GE.A.AL S.P.A.,"Regione Nuraghe Biancu, 07041 Alghero (SS)",Alghero,Sassari,Sardegna,Italia,IT,40.633294,8.289652
Ancona Falconara,"Aeroporto delle Marche ""Raffaello Sanzio""",Raffaello Sanzio,LIPY,AOI,AERDORICA S.P.A.,"Piazzale Sandro Sordoni, 60015 Falconara Marittima (AN)",Ancona,Ancona,Marche,Italia,IT,43.615278,13.3625
Aosta,"Aeroporto della Valle d'Aosta ""Corrado Gex""",Corrado Gex,LIMW,AOT,A.V.D.A.,"Loc. Aeroporto, 6, 11020 Saint-christophe (AO)",Brissogne,Aosta,Valle d'Aosta,Italia,IT,45.738611,7.3625
Bari Palese Macchie,"Aeroporto di Bari ""Karol Wojtyła""",Karol Wojtyła,LIBD,BRI,SOC. AEROPORTI DI PUGLIA,"Viale Enzo Ferrari, 70128 (BA)",Bitonto,Bari,Puglia,Italia,IT,41.138056,16.765
Bergamo Orio Al Serio,"Aeroporto Internazionale ""Il Caravaggio""",Caravaggio,LIME,BGY,SACBO,"Via Aeroporto, 13, 24050 Orio al Serio (BG)",Orio al Serio,Bergamo,Lombardia,Italia,IT,45.668889,9.700278
Bologna Borgo Panigale,"Aeroporto Internazionale ""Guglielmo Marconi""",Guglielmo Marconi,LIPE,BLQ,AEROPORTO GUGLIELMO MARCONI DI BOLOGNA S.P.A.,"Via del Triumvirato, 84, 40132 (BO)",Calderara di Reno,Bologna,Emilia Romagna,Italia,IT,44.533333,11.3
Bolzano,Aeroporto Bolzano-Dolomiti,,LIPB,BZO,ADB,"Via Aeroporto Francesco Baracca, 1, 39100 Bolzano (BZ)",Bolzano,Bolzano,Trentino Alto Adige,Italia,IT,46.460278,11.326389
Brescia Montichiari,"Aeroporto ""Gabriele D'Annunzio""",Gabriele D'Annunzio,LIPO,VBS,VALERIO CATULLO,"Via Aeroporto, 34, 25018 Montichiari (BS)",Montichiari,Brescia,Lombardia,Italia,IT,45.425556,10.326944
Brindisi Casale,"Aeroporto ""Papola Casale"" di Brindisi",,LIBR,BDS,SOC. AEROPORTI DI PUGLIA,"Contrada Baroncino, 72100 Brindisi (BR)",Brindisi,Brindisi,Puglia,Italia,IT,40.658056,17.946667
Cagliari Elmas,"Aeroporto ""Mario Mameli"" di Cagliari",Mario Mameli,LIEE,CAG,SO.G.AER. S.P.A.,"Via dei Trasvolatori, 09030 Elmas (CA)",Elmas,Cagliari,Sardegna,Italia,IT,39.25,9.05
