Aeroporto,Categoria,Origine,Valore,Anno
LIEA,merci e posta,internazionale,0.0,2019
LIEA,merci e posta,nazionale,2.0,2019
LIEA,passeggeri,internazionale,403929.0,2019
LIEA,passeggeri,nazionale,1451823.0,2019
LIEA,voli commerciali,internazionale,2716.0,2019
LIEA,voli commerciali,nazionale,11300.0,2019
LIPY,merci e posta,internazionale,996.0,2019
LIPY,merci e posta,nazionale,5947.0,2019
LIPY,passeggeri,internazionale,421186.0,2019
LIPY,passeggeri,nazionale,109897.0,2019
LIPY,voli commerciali,internazionale,4540.0,2019
LIPY,voli commerciali,nazionale,1670.0,2019
LIBD,merci e posta,internazionale,82.0,2019
LIBD,merci e posta,nazionale,4388.0,2019
LIBD,passeggeri,internazionale,2656560.0,2019
LIBD,passeggeri,nazionale,3963998.0,2019
LIBD,voli commerciali,internazionale,18752.0,2019
LIBD,voli commerciali,nazionale,30356.0,2019
LIME,merci e posta,internazionale,99586.0,2019
LIME,merci e posta,nazionale,19479.0,2019
LIME,passeggeri,internazionale,10740103.0,2019
LIME,passeggeri,nazionale,3610068.0,2019
LIME,voli commerciali,internazionale,71373.0,2019
LIME,voli commerciali,nazionale,24832.0,2019
LIPE,merci e posta,internazionale,37160.0,2019
LIPE,merci e posta,nazionale,970.0,2019
LIPE,passeggeri,internazionale,8115645.0,2019
LIPE,passeggeri,nazionale,2478403.0,2019
LIPE,voli commerciali,internazionale,65233.0,2019
LIPE,voli commerciali,nazionale,18612.0,2019
LIPB,merci e posta,internazionale,0.0,2019
LIPB,merci e posta,nazionale,0.0,2019
LIPB,passeggeri,internazionale,1160.0,2019
LIPB,passeggeri,nazionale,16.0,2019
LIPB,voli commerciali,internazionale,37.0,2019
LIPB,voli commerciali,nazionale,2.0,2019
LIPO,merci e posta,internazionale,2142.0,2019
LIPO,merci e posta,nazionale,22128.0,2019
LIPO,passeggeri,internazionale,14685.0,2019
LIPO,passeggeri,nazionale,1578.0,2019
LIPO,voli commerciali,internazionale,307.0,2019
LIPO,voli commerciali,nazionale,6117.0,2019
LIBR,merci e posta,internazionale,0.0,2019
LIBR,merci e posta,nazionale,18.0,2019
LIBR,passeggeri,internazionale,729198.0,2019
LIBR,passeggeri,nazionale,2611567.0,2019
LIBR,voli commerciali,internazionale,4912.0,2019
LIBR,voli commerciali,nazionale,18425.0,2019
LIEE,merci e posta,internazionale,60.0,2019
LIEE,merci e posta,nazionale,8222.0,2019
LIEE,passeggeri,internazionale,1397416.0,2019
LIEE,passeggeri,nazionale,5041595.0,2019
LIEE,voli commerciali,internazionale,9984.0,2019
LIEE,voli commerciali,nazionale,38607.0,2019
LICC,merci e posta,internazionale,162.0,2019
LICC,merci e posta,nazionale,10715.0,2019
LICC,passeggeri,internazionale,3800000.0,2019
LICC,passeggeri,nazionale,8383163.0,2019
LICC,voli commerciali,internazionale,26474.0,2019
LICC,voli commerciali,nazionale,64489.0,2019
LICB,merci e posta,internazionale,0.0,2019
LICB,merci e posta,nazionale,0.0,2019
LICB,passeggeri,internazionale,111962.0,2019
LICB,passeggeri,nazionale,253557.0,2019
LICB,voli commerciali,internazionale,778.0,2019
LICB,voli commerciali,nazionale,1764.0,2019
LIBC,merci e posta,internazionale,0.0,2019
LIBC,merci e posta,nazionale,0.0,2019
LIBC,passeggeri,internazionale,18039.0,2019
LIBC,passeggeri,nazionale,153866.0,2019
LIBC,voli commerciali,internazionale,120.0,2019
LIBC,voli commerciali,nazionale,941.0,2019
LIMZ,merci e posta,internazionale,0.0,2019
LIMZ,merci e posta,nazionale,0.0,2019
LIMZ,passeggeri,internazionale,24524.0,2019
LIMZ,passeggeri,nazionale,65285.0,2019
LIMZ,voli commerciali,internazionale,222.0,2019
LIMZ,voli commerciali,nazionale,396.0,2019
