Id,Aeroporto,Categoria,Origine,Valore,Anno
0,LIMG,voli commerciali,nazionale,0.0,2020
1,LIMG,passeggeri,nazionale,0.0,2020
2,LIMG,merci e posta,nazionale,0.0,2020
3,LIEA,voli commerciali,nazionale,4311.0,2020
4,LIEA,passeggeri,nazionale,427968.0,2020
5,LIEA,merci e posta,nazionale,7.0,2020
6,LIPY,voli commerciali,nazionale,1036.0,2020
7,LIPY,passeggeri,nazionale,63446.0,2020
8,LIPY,merci e posta,nazionale,4145.5,2020
9,LIMW,voli commerciali,nazionale,0.0,2020
10,LIMW,passeggeri,nazionale,0.0,2020
11,LIMW,merci e posta,nazionale,0.0,2020
12,LIBD,voli commerciali,nazionale,10416.0,2020
13,LIBD,passeggeri,nazionale,1074727.0,2020
14,LIBD,merci e posta,nazionale,1863.6,2020
15,LIME,voli commerciali,nazionale,10317.0,2020
16,LIME,passeggeri,nazionale,1160754.0,2020
17,LIME,merci e posta,nazionale,6142.0,2020
18,LIPE,voli commerciali,nazionale,7298.0,2020
19,LIPE,passeggeri,nazionale,807286.0,2020
20,LIPE,merci e posta,nazionale,2144.9,2020
21,LIPB,voli commerciali,nazionale,0.0,2020
22,LIPB,passeggeri,nazionale,0.0,2020
23,LIPB,merci e posta,nazionale,0.0,2020
24,LIPO,voli commerciali,nazionale,4379.0,2020
25,LIPO,passeggeri,nazionale,382.0,2020
26,LIPO,merci e posta,nazionale,13274.1,2020
27,LIBR,voli commerciali,nazionale,6194.0,2020
28,LIBR,passeggeri,nazionale,747236.0,2020
29,LIBR,merci e posta,nazionale,41.7,2020
30,LIEE,voli commerciali,nazionale,15179.0,2020
31,LIEE,passeggeri,nazionale,1448764.0,2020
32,LIEE,merci e posta,nazionale,4904.1,2020
33,LICC,voli commerciali,nazionale,23960.0,2020
34,LICC,passeggeri,nazionale,2683828.0,2020
35,LICC,merci e posta,nazionale,4881.1,2020
36,LICB,voli commerciali,nazionale,492.0,2020
37,LICB,passeggeri,nazionale,56227.0,2020
38,LICB,merci e posta,nazionale,0.0,2020
39,LIBC,voli commerciali,nazionale,492.0,2020
40,LIBC,passeggeri,nazionale,54041.0,2020
41,LIBC,merci e posta,nazionale,0.0,2020
42,LIMZ,voli commerciali,nazionale,340.0,2020
43,LIMZ,passeggeri,nazionale,37710.0,2020
44,LIMZ,merci e posta,nazionale,0.0,2020
45,LIRQ,voli commerciali,nazionale,2042.0,2020
46,LIRQ,passeggeri,nazionale,114564.0,2020
47,LIRQ,merci e posta,nazionale,3.1,2020
48,LIBF,voli commerciali,nazionale,0.0,2020
49,LIBF,passeggeri,nazionale,0.0,2020
50,LIBF,merci e posta,nazionale,0.0,2020
51,LIPK,voli commerciali,nazionale,4.0,2020
52,LIPK,passeggeri,nazionale,204.0,2020
53,LIPK,merci e posta,nazionale,0.0,2020
54,LIMJ,voli commerciali,nazionale,3207.0,2020
55,LIMJ,passeggeri,nazionale,302056.0,2020
56,LIMJ,merci e posta,nazionale,23.7,2020
57,LIRS,voli commerciali,nazionale,0.0,2020
58,LIRS,passeggeri,nazionale,0.0,2020
59,LIRS,merci e posta,nazionale,0.0,2020
60,LICA,voli commerciali,nazionale,7197.0,2020
61,LICA,passeggeri,nazionale,842638.0,2020
62,LICA,merci e posta,nazionale,30.1,2020
63,LICD,voli commerciali,nazionale,3122.0,2020
64,LICD,passeggeri,nazionale,174682.0,2020
65,LICD,merci e posta,nazionale,13.8,2020
66,LIRJ,voli commerciali,nazionale,438.0,2020
67,LIRJ,passeggeri,nazionale,1439.0,2020
68,LIRJ,merci e posta,nazionale,0.0,2020
69,LIML,voli commerciali,nazionale,17157.0,2020
70,LIML,passeggeri,nazionale,1398469.0,2020
71,LIML,merci e posta,nazionale,537.7,2020
72,LIMC,voli commerciali,nazionale,20610.0,2020
73,LIMC,passeggeri,nazionale,2188630.0,2020
74,LIMC,merci e posta,nazionale,9659.4,2020
75,LIRN,voli commerciali,nazionale,11959.0,2020
76,LIRN,passeggeri,nazionale,1220291.0,2020
77,LIRN,merci e posta,nazionale,8480.1,2020
78,LIEO,voli commerciali,nazionale,6555.0,2020
79,LIEO,passeggeri,nazionale,719113.0,2020
80,LIEO,merci e posta,nazionale,5.8,2020
81,LICJ,voli commerciali,nazionale,20833.0,2020
82,LICJ,passeggeri,nazionale,2129193.0,2020
83,LICJ,merci e posta,nazionale,2335.5,2020
84,LICG,voli commerciali,nazionale,2861.0,2020
85,LICG,passeggeri,nazionale,107800.0,2020
86,LICG,merci e posta,nazionale,21.8,2020
87,LIMP,voli commerciali,nazionale,229.0,2020
88,LIMP,passeggeri,nazionale,19149.0,2020
89,LIMP,merci e posta,nazionale,0.0,2020
90,LIRZ,voli commerciali,nazionale,305.0,2020
91,LIRZ,passeggeri,nazionale,21880.0,2020
92,LIRZ,merci e posta,nazionale,0.0,2020
93,LIBP,voli commerciali,nazionale,931.0,2020
94,LIBP,passeggeri,nazionale,86962.0,2020
95,LIBP,merci e posta,nazionale,0.0,2020
96,LIRP,voli commerciali,nazionale,4918.0,2020
97,LIRP,passeggeri,nazionale,546855.0,2020
98,LIRP,merci e posta,nazionale,1478.5,2020
99,LICR,voli commerciali,nazionale,1206.0,2020
100,LICR,passeggeri,nazionale,110210.0,2020
101,LICR,merci e posta,nazionale,9.7,2020
102,LIPR,voli commerciali,nazionale,35.0,2020
103,LIPR,passeggeri,nazionale,0.0,2020
104,LIPR,merci e posta,nazionale,0.0,2020
105,LIRA,voli commerciali,nazionale,580.0,2020
106,LIRA,passeggeri,nazionale,71744.0,2020
107,LIRA,merci e posta,nazionale,19.7,2020
108,LIRF,voli commerciali,nazionale,40732.0,2020
109,LIRF,passeggeri,nazionale,3574693.0,2020
110,LIRF,merci e posta,nazionale,5707.7,2020
111,LIRI,voli commerciali,nazionale,0.0,2020
112,LIRI,passeggeri,nazionale,0.0,2020
113,LIRI,merci e posta,nazionale,0.0,2020
114,LIBG,voli commerciali,nazionale,0.0,2020
115,LIBG,passeggeri,nazionale,0.0,2020
116,LIBG,merci e posta,nazionale,0.0,2020
117,LIMF,voli commerciali,nazionale,7848.0,2020
118,LIMF,passeggeri,nazionale,893547.0,2020
119,LIMF,merci e posta,nazionale,28.4,2020
120,LICT,voli commerciali,nazionale,2566.0,2020
121,LICT,passeggeri,nazionale,170885.0,2020
122,LICT,merci e posta,nazionale,6.8,2020
123,LIPH,voli commerciali,nazionale,1290.0,2020
124,LIPH,passeggeri,nazionale,183655.0,2020
125,LIPH,merci e posta,nazionale,0.0,2020
126,LIPQ,voli commerciali,nazionale,1957.0,2020
127,LIPQ,passeggeri,nazionale,152304.0,2020
128,LIPQ,merci e posta,nazionale,5.7,2020
129,LIPZ,voli commerciali,nazionale,8586.0,2020
130,LIPZ,passeggeri,nazionale,866048.0,2020
131,LIPZ,merci e posta,nazionale,2562.5,2020
132,LIPX,voli commerciali,nazionale,5288.0,2020
133,LIPX,passeggeri,nazionale,613101.0,2020
134,LIPX,merci e posta,nazionale,2.0,2020
135,LIMG,voli commerciali,internazionale,0.0,2020
136,LIMG,passeggeri,intarnazionale,0.0,2020
137,LIMG,merci e posta,internazionale,0.0,2020
138,LIEA,voli commerciali,internazionale,1009.0,2020
139,LIEA,passeggeri,intarnazionale,107428.0,2020
140,LIEA,merci e posta,internazionale,0.0,2020
141,LIPY,voli commerciali,internazionale,1343.0,2020
142,LIPY,passeggeri,intarnazionale,84671.0,2020
143,LIPY,merci e posta,internazionale,1425.0,2020
144,LIMW,voli commerciali,internazionale,0.0,2020
145,LIMW,passeggeri,intarnazionale,0.0,2020
146,LIMW,merci e posta,internazionale,0.0,2020
147,LIBD,voli commerciali,internazionale,5938.0,2020
148,LIBD,passeggeri,intarnazionale,628929.0,2020
149,LIBD,merci e posta,internazionale,648.0,2020
150,LIME,voli commerciali,internazionale,25478.0,2020
151,LIME,passeggeri,intarnazionale,2669409.0,2020
152,LIME,merci e posta,internazionale,45365.8,2020
153,LIPE,voli commerciali,internazionale,20034.0,2020
154,LIPE,passeggeri,intarnazionale,1710996.0,2020
155,LIPE,merci e posta,internazionale,32529.0,2020
156,LIPB,voli commerciali,internazionale,3.0,2020
157,LIPB,passeggeri,intarnazionale,124.0,2020
158,LIPB,merci e posta,internazionale,0.0,2020
159,LIPO,voli commerciali,internazionale,876.0,2020
160,LIPO,passeggeri,intarnazionale,187.0,2020
161,LIPO,merci e posta,internazionale,8229.6,2020
162,LIBR,voli commerciali,internazionale,2257.0,2020
163,LIBR,passeggeri,intarnazionale,269259.0,2020
164,LIBR,merci e posta,internazionale,0.1,2020
165,LIEE,voli commerciali,internazionale,3074.0,2020
166,LIEE,passeggeri,intarnazionale,322969.0,2020
167,LIEE,merci e posta,internazionale,11.7,2020
168,LICC,voli commerciali,internazionale,8077.0,2020
169,LICC,passeggeri,intarnazionale,964032.0,2020
170,LICC,merci e posta,internazionale,38.3,2020
171,LICB,voli commerciali,internazionale,280.0,2020
172,LICB,passeggeri,intarnazionale,36232.0,2020
173,LICB,merci e posta,internazionale,0.0,2020
174,LIBC,voli commerciali,internazionale,6.0,2020
175,LIBC,passeggeri,intarnazionale,89.0,2020
176,LIBC,merci e posta,internazionale,0.0,2020
177,LIMZ,voli commerciali,internazionale,132.0,2020
178,LIMZ,passeggeri,intarnazionale,14231.0,2020
179,LIMZ,merci e posta,internazionale,0.0,2020
180,LIRQ,voli commerciali,internazionale,7843.0,2020
181,LIRQ,passeggeri,intarnazionale,547963.0,2020
182,LIRQ,merci e posta,internazionale,4.7,2020
183,LIBF,voli commerciali,internazionale,0.0,2020
184,LIBF,passeggeri,intarnazionale,0.0,2020
185,LIBF,merci e posta,internazionale,0.0,2020
186,LIPK,voli commerciali,internazionale,0.0,2020
187,LIPK,passeggeri,intarnazionale,0.0,2020
188,LIPK,merci e posta,internazionale,0.0,2020
189,LIMJ,voli commerciali,internazionale,1175.0,2020
190,LIMJ,passeggeri,intarnazionale,92434.0,2020
191,LIMJ,merci e posta,internazionale,53.5,2020
192,LIRS,voli commerciali,internazionale,8.0,2020
193,LIRS,passeggeri,intarnazionale,307.0,2020
194,LIRS,merci e posta,internazionale,0.0,2020
195,LICA,voli commerciali,internazionale,1050.0,2020
196,LICA,passeggeri,intarnazionale,126897.0,2020
197,LICA,merci e posta,internazionale,0.0,2020
198,LICD,voli commerciali,internazionale,0.0,2020
199,LICD,passeggeri,intarnazionale,0.0,2020
200,LICD,merci e posta,internazionale,0.0,2020
201,LIRJ,voli commerciali,internazionale,63.0,2020
202,LIRJ,passeggeri,intarnazionale,310.0,2020
203,LIRJ,merci e posta,internazionale,0.0,2020
204,LIML,voli commerciali,internazionale,11148.0,2020
205,LIML,passeggeri,intarnazionale,851905.0,2020
206,LIML,merci e posta,internazionale,702.4,2020
207,LIMC,voli commerciali,internazionale,65665.0,2020
208,LIMC,passeggeri,intarnazionale,5012400.0,2020
209,LIMC,merci e posta,internazionale,506729.2,2020
210,LIRN,voli commerciali,internazionale,13575.0,2020
211,LIRN,passeggeri,intarnazionale,1540771.0,2020
212,LIRN,merci e posta,internazionale,211.3,2020
213,LIEO,voli commerciali,internazionale,2719.0,2020
214,LIEO,passeggeri,intarnazionale,283320.0,2020
215,LIEO,merci e posta,internazionale,0.0,2020
216,LICJ,voli commerciali,internazionale,5000.0,2020
217,LICJ,passeggeri,intarnazionale,570338.0,2020
218,LICJ,merci e posta,internazionale,157.1,2020
219,LICG,voli commerciali,internazionale,0.0,2020
220,LICG,passeggeri,intarnazionale,0.0,2020
221,LICG,merci e posta,internazionale,0.0,2020
222,LIMP,voli commerciali,internazionale,99.0,2020
223,LIMP,passeggeri,intarnazionale,7724.0,2020
224,LIMP,merci e posta,internazionale,0.0,2020
225,LIRZ,voli commerciali,internazionale,533.0,2020
226,LIRZ,passeggeri,intarnazionale,54129.0,2020
227,LIRZ,merci e posta,internazionale,0.0,2020
