"ITTER107","Territorio","TIPO_DATO7","Indicatori trasporto aereo","ARRIVO_PARTENZA","Arrivo-Partenza                  ","AEROPORTI","Aeroporti ","SERVIZIO_AEREO_TIPO","Tipo di servizio aereo","ISO","Nazionalità vettore","ISO_OD","Origine / Destinazione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","INTSH","linea interni","IT","Italia","IT","Italia","2018","2018",110038,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","INTSH","linea interni","IT","Italia","IT","Italia","2019","2019",233705,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","INTSH","linea interni","IT","Italia","IT","Italia","2018","2018",0,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","INTSH","linea interni","IT","Italia","IT","Italia","2019","2019",1,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","INTNSH","charter interni","IT","Italia","IT","Italia","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","INTNSH","charter interni","IT","Italia","IT","Italia","2019","2019",,"g","il fenomeno esiste, ma i dati non si conoscono per qualsiasi ragione"
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","INTNSH","charter interni","IT","Italia","IT","Italia","2018","2018",0,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","INTNSH","charter interni","IT","Italia","IT","Italia","2019","2019",,"g","il fenomeno esiste, ma i dati non si conoscono per qualsiasi ragione"
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","INTSE","voli interni","IT","Italia","IT","Italia","2018","2018",110038,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","INTSE","voli interni","IT","Italia","IT","Italia","2019","2019",233705,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","INTSE","voli interni","IT","Italia","IT","Italia","2018","2018",0,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","INTSE","voli interni","IT","Italia","IT","Italia","2019","2019",1,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","ITLSH","linea internazionali","IT","Italia","WRL_X_ITA","Paesi esteri","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","ITLSH","linea internazionali","IT","Italia","WRL_X_ITA","Paesi esteri","2019","2019",0,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","ITLSH","linea internazionali","IT","Italia","WRL_X_ITA","Paesi esteri","2018","2018",0,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","ITLSH","linea internazionali","IT","Italia","WRL_X_ITA","Paesi esteri","2019","2019",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","ITLNSH","charter internazionali","IT","Italia","WRL_X_ITA","Paesi esteri","2018","2018",283,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","ITLNSH","charter internazionali","IT","Italia","WRL_X_ITA","Paesi esteri","2019","2019",370,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","ITLNSH","charter internazionali","IT","Italia","WRL_X_ITA","Paesi esteri","2018","2018",0,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","ITLNSH","charter internazionali","IT","Italia","WRL_X_ITA","Paesi esteri","2019","2019",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","ITLSE","voli internazionali","IT","Italia","WRL_X_ITA","Paesi esteri","2018","2018",283,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","ITLSE","voli internazionali","IT","Italia","WRL_X_ITA","Paesi esteri","2019","2019",370,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","ITLSE","voli internazionali","IT","Italia","WRL_X_ITA","Paesi esteri","2018","2018",0,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","ITLSE","voli internazionali","IT","Italia","WRL_X_ITA","Paesi esteri","2019","2019",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","INTSH","linea interni","WORLD","Mondo","IT","Italia","2018","2018",469551,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","INTSH","linea interni","WORLD","Mondo","IT","Italia","2019","2019",487016,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","INTSH","linea interni","WORLD","Mondo","IT","Italia","2018","2018",1,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","INTSH","linea interni","WORLD","Mondo","IT","Italia","2019","2019",1,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","INTNSH","charter interni","WORLD","Mondo","IT","Italia","2018","2018",349,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","AHO","Alghero-Fertilia ","INTNSH","charter interni","WORLD","Mondo","IT","Italia","2019","2019",251,,
"IT","Italia","T","merce e posta trasportate - tonnellate","AR","arrivi","AHO","Alghero-Fertilia ","INTNSH","charter interni","WORLD","Mondo","IT","Italia","2018","2018",0,,
