ID,AEROPORTO,NOME COMMERCIALE,COMUNE,INDIRIZZO,CODICE IATA,CODICE ICAO,TIPO UTILIZZO,INTERESSE NAZIONALE,TEN T CORE NETWORK/COMPREHENSIVE NETWORK,CERTIFICATO,GESTORE,N. CERTIFICATO,SCADENZA,DIREZIONE / UFFICIO OPERAZIONI ENAC,NOTE CERTIFICATO,SITO WEB,WIKIPEDIA,LAT (EPSG:4326),LON (EPSG:4326)
1,ALBENGA,"Aeroporto Internazionale di Villanova d'Albenga ""Clemente Panero""",VILLANOVA D�ALBENGA,"Viale Generale Disegna, 17038 Villanova d'Albenga (SV)",ALL,LIMG,CIVILE,NO,NO,SI,A.V.A.,I-036/APT,27/12/2019,U.O. TORINO,,http://www.aeroportoalbenga.it,https://it.wikipedia.org/wiki/Aeroporto di Albenga,44.045833,8.125556
2,ALGHERO FERTILIA,"Aeroporto Internazionale ""Riviera del Corallo""",ALGHERO,"Regione Nuraghe Biancu, 07041 Alghero (SS)",AHO,LIEA,CIVILE E MILITARE,SI,COMPREHENSIVE,SI,SO.GE.A.AL S.P.A.,IT.ADR.0014,27/12/2019,CENTRO,certificato rilasciato ai sensi del Reg. (UE) 139/2014,http://www.aeroportodialghero.it/,https://it.wikipedia.org/wiki/Aeroporto di Alghero-Fertilia,40.633294,8.289652
3,ANCONA FALCONARA,"Aeroporto delle Marche ""Raffaello Sanzio""",FALCONARA MARITTIMA,"Piazzale Sandro Sordoni, 60015 Falconara Marittima (AN)",AOI,LIPY,CIVILE,SI,COMPREHENSIVE,SI,AERDORICA S.P.A.,IT.ADR.0034,27/12/2019,CENTRO,certificato rilasciato ai sensi del Reg. (UE) 139/2014,http://aeroportomarche.regione.marche.it/,https://it.wikipedia.org/wiki/Aeroporto di Ancona-Falconara,43.615278,13.3625
4,AOSTA,"Aeroporto della Valle d'Aosta ""Corrado Gex""
A�roport de la Vall�e d'Aoste ""Corrado Gex""",AOSTA,"Loc. Aeroporto, 6, 11020 Saint-christophe (AO)",AOT,LIMW,CIVILE,NO,NO,SI,A.V.D.A.,I-025/APT,31/01/2021,U.O. TORINO,,http://www.avda-aosta.it/,https://it.wikipedia.org/wiki/Aeroporto di Aosta,45.738611,7.3625
5,BARI,"Aeroporto di Bari ""Karol Wojty?a""",BARI,"Viale Enzo Ferrari, 70128 (BA)",BRI,LIBD,CIVILE E MILITARE,STRATEGICO,COMPREHENSIVE,SI,SOC. AEROPORTI DI PUGLIA,IT.ADR.0009,31/01/2021,SUD,certificato rilasciato ai sensi del Reg. (UE) 139/2014,http://www.aeroportidipuglia.it/,https://it.wikipedia.org/wiki/Aeroporto di Bari-Palese,41.138056,16.765
6,BERGAMO ORIO AL SERIO,"Aeroporto Internazionale ""Il Caravaggio""",ORIO AL SERIO,"Via Aeroporto, 13, 24050 Orio al Serio (BG)",BGY,LIME,CIVILE,SI,CORE,SI,SACBO,IT.ADR.0003,31/01/2021,NORD-OVEST,certificato rilasciato ai sensi del Reg. (UE) 139/2014,http://www.orioaeroporto.it/en/,https://it.wikipedia.org/wiki/Aeroporto di Bergamo-Orio al Serio,45.668889,9.700278
7,BOLOGNA,"Aeroporto Internazionale ""Guglielmo Marconi""",BOLOGNA,"Via del Triumvirato, 84, 40132 (BO)",BLQ,LIPE,CIVILE,STRATEGICO,CORE,SI,AEROPORTO GUGLIELMO MARCONI DI BOLOGNA S.P.A.,IT.ADR.0006,31/01/2021,NORD-EST,certificato rilasciato ai sensi del Reg. (UE) 139/2014,http://www.bologna-airport.it/,https://it.wikipedia.org/wiki/Aeroporto di Bologna-Borgo Panigale,44.533333,11.3
8,BOLZANO,"Aeroporto Bolzano-Dolomiti
(DE) Flughafen Bozen-Dolomiten",BOLZANO,"Via Aeroporto Francesco Baracca, 1, 39100 Bolzano (BZ)",BZO,LIPB,CIVILE E MILITARE,NO,COMPREHENSIVE,SI,ADB,IT.ADR.0017,31/01/2021,NORD-EST,certificato rilasciato ai sensi del Reg. (UE) 139/2014,http://www.bolzanoairport.it,https://it.wikipedia.org/wiki/Aeroporto di Bolzano,46.460278,11.326389
9,BRESCIA MONTICHIARI,"Aeroporto ""Gabriele D'Annunzio""",MONTICHIARI,"Via Aeroporto, 34, 25018 Montichiari (BS)",VBS,LIPO,CIVILE,SI,COMPREHENSIVE,SI,VALERIO CATULLO,IT.ADR.013,31/01/2021,NORD-EST,certificato rilasciato ai sensi del Reg. (UE) 139/2014,http://www.aeroportobrescia.it,https://it.wikipedia.org/wiki/Aeroporto di Brescia-Montichiari,45.425556,10.326944
10,BRINDISI,"Aeroporto ""Papola Casale"" di Brindisi
Aeroporto del Salento",BRINDISI,"Contrada Baroncino, 72100 Brindisi (BR)",BDS,LIBR,CIVILE,SI,COMPREHENSIVE,SI,SOC. AEROPORTI DI PUGLIA,IT.ADR.0022,31/01/2021,SUD,certificato rilasciato ai sensi del Reg. (UE) 139/2014,http://www.aeroportodibrindisi.com/,https://it.wikipedia.org/wiki/Aeroporto di Brindisi-Casale,40.658056,17.946667
